25/01/2010 12:21:17 : Starting build.
25/01/2010 13:55:05 : Starting rebuild
25/01/2010 13:55:05 : Deleting files from current index
25/01/2010 13:55:05 : Deleting : R:\data\documentation\Indexes\Child_Questionnaire_Index\index.idx
25/01/2010 13:55:05 : Deleting : R:\data\documentation\Indexes\Child_Questionnaire_Index\index1.idx
25/01/2010 13:55:05 : Searching : R:\data\documentation\quest_pdf\childb\
25/01/2010 13:55:06 : Searching : R:\data\documentation\quest_pdf\childc\
25/01/2010 13:55:06 : Searching : R:\data\documentation\quest_pdf\school\
25/01/2010 13:55:07 : Searching : R:\data\documentation\quest_pdf\focus\
25/01/2010 13:55:07 : Searching : R:\data\documentation\quest_pdf\puberty\
25/01/2010 13:55:07 : Indexing 84 files
25/01/2010 13:55:08 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb01__my_young_baby_girl.pdf
25/01/2010 13:55:08 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb02__my_daughter.pdf
25/01/2010 13:55:09 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb03__my_infant_daughter.pdf
25/01/2010 13:55:09 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb04__girl_toddler.pdf
25/01/2010 13:55:10 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb05__my_little_girl.pdf
25/01/2010 13:55:11 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb06__my_study_son.pdf
25/01/2010 13:55:11 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb07__my_3_year_old_boy.pdf
25/01/2010 13:55:12 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb08__my sons health and behaviour.pdf
25/01/2010 13:55:12 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb09__my young 4 year old boy.pdf
25/01/2010 13:55:13 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb10__development_and_health_of_my_son.pdf
25/01/2010 13:55:15 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb11__my_five_year_old_son.pdf
25/01/2010 13:55:15 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb12__my_school_boy.pdf
25/01/2010 13:55:16 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb13__my_daughter_growing_up.pdf
25/01/2010 13:55:18 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb14__my_son_at_school.pdf
25/01/2010 13:55:19 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb15__my_daughters_well_being.pdf
25/01/2010 13:55:20 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb17__my_sons_health.pdf
25/01/2010 13:55:21 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb18__my_daughter_at_home_and_at_school.pdf
25/01/2010 13:55:22 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb19__your_son_at_9.pdf
25/01/2010 13:55:23 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb21__girl_health_and_happiness.pdf
25/01/2010 13:55:25 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb23__being_a_girl.pdf
25/01/2010 13:55:26 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb25__my_teenage_son.pdf
25/01/2010 13:55:27 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb26__Wellbeing_of_my_teenage_daughter.pdf
25/01/2010 13:55:29 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb27__Your_Daughter_16+_Years_On.pdf
25/01/2010 13:55:30 : Extracting : R:\data\documentation\quest_pdf\childb\ques_cb51__Year11_Parent_Carer.pdf
25/01/2010 13:55:30 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c01__your_own_questionnaire.pdf
25/01/2010 13:55:30 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c02__my_second_questionnaire.pdf
25/01/2010 13:55:30 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c03__your_next_questionnaire.pdf
25/01/2010 13:55:31 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c04__growing_up.pdf
25/01/2010 13:55:31 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c05__my_questionnaire.pdf
25/01/2010 13:55:31 : Extracting : R:\data\documentation\quest_pdf\childc\ques_c06__things_for_you_to_do.pdf
