25/01/2010 12:07:55 : Starting build.
25/01/2010 13:59:05 : Extracting : R:\data\documentation\built_pdf\childb\ta.pdf
25/01/2010 13:59:13 : Extracting : R:\data\documentation\built_pdf\childb\TB.pdf
25/01/2010 13:59:21 : Extracting : R:\data\documentation\built_pdf\childb\TXA.pdf
25/01/2010 13:59:23 : Extracting : R:\data\documentation\built_pdf\childc\ccb.pdf
25/01/2010 13:59:25 : Extracting : R:\data\documentation\built_pdf\childc\CCC.pdf
25/01/2010 13:59:27 : Extracting : R:\data\documentation\built_pdf\childc\CCD.pdf
25/01/2010 13:59:28 : Extracting : R:\data\documentation\built_pdf\childc\CCE.pdf
25/01/2010 13:59:30 : Extracting : R:\data\documentation\built_pdf\childc\CCF.pdf
25/01/2010 13:59:32 : Extracting : R:\data\documentation\built_pdf\childc\CCG.pdf
25/01/2010 13:59:34 : Extracting : R:\data\documentation\built_pdf\childc\CCH.pdf
25/01/2010 13:59:37 : Extracting : R:\data\documentation\built_pdf\childc\CCJ.pdf
25/01/2010 13:59:39 : Extracting : R:\data\documentation\built_pdf\childc\CCK.pdf
25/01/2010 13:59:41 : Extracting : R:\data\documentation\built_pdf\childc\CCL.pdf
25/01/2010 13:59:43 : Extracting : R:\data\documentation\built_pdf\childc\CCM.pdf
25/01/2010 13:59:45 : Extracting : R:\data\documentation\built_pdf\childc\CCN.pdf
25/01/2010 13:59:47 : Extracting : R:\data\documentation\built_pdf\childc\CCP.pdf
25/01/2010 13:59:52 : Extracting : R:\data\documentation\built_pdf\childc\CCQ.pdf
25/01/2010 13:59:56 : Extracting : R:\data\documentation\built_pdf\childc\CCR.pdf
25/01/2010 13:59:56 : Insufficient disk space

25/01/2010 14:11:05 : Starting build.
25/01/2010 14:11:05 : Searching : R:\data\documentation\built_pdf\childb\
25/01/2010 14:11:06 : Searching : R:\data\documentation\built_pdf\childc\
25/01/2010 14:11:06 : Searching : R:\data\documentation\built_pdf\focus\
25/01/2010 14:11:06 : Searching : R:\data\documentation\built_pdf\puberty\
25/01/2010 14:11:07 : Searching : R:\data\documentation\built_pdf\school\
25/01/2010 14:11:07 : Indexing 70 files
25/01/2010 14:11:07 : Extracting : R:\data\documentation\built_pdf\childb\ka.pdf
25/01/2010 14:11:11 : Extracting : R:\data\documentation\built_pdf\childb\kb.pdf
25/01/2010 14:11:23 : Extracting : R:\data\documentation\built_pdf\childb\kc.pdf
25/01/2010 14:11:29 : Extracting : R:\data\documentation\built_pdf\childb\kd.pdf
25/01/2010 14:11:33 : Extracting : R:\data\documentation\built_pdf\childb\ke.pdf
25/01/2010 14:11:40 : Extracting : R:\data\documentation\built_pdf\childb\kf.pdf
25/01/2010 14:11:43 : Extracting : R:\data\documentation\built_pdf\childb\kg.pdf
25/01/2010 14:11:54 : Extracting : R:\data\documentation\built_pdf\childb\kj.pdf
25/01/2010 14:11:58 : Extracting : R:\data\documentation\built_pdf\childb\KK.pdf
25/01/2010 14:12:05 : Extracting : R:\data\documentation\built_pdf\childb\kl.pdf
25/01/2010 14:12:14 : Extracting : R:\data\documentation\built_pdf\childb\km.pdf
25/01/2010 14:12:23 : Extracting : R:\data\documentation\built_pdf\childb\kn.pdf
25/01/2010 14:12:31 : Extracting : R:\data\documentation\built_pdf\childb\kp.pdf
25/01/2010 14:12:41 : Extracting : R:\data\documentation\built_pdf\childb\kq.pdf
25/01/2010 14:12:51 : Extracting : R:\data\documentation\built_pdf\childb\kr.pdf
25/01/2010 14:13:06 : Extracting : R:\data\documentation\built_pdf\childb\ks.pdf
25/01/2010 14:13:12 : Extracting : R:\data\documentation\built_pdf\childb\kt.pdf
25/01/2010 14:13:19 : Extracting : R:\data\documentation\built_pdf\childb\ku.pdf
25/01/2010 14:13:30 : Extracting : R:\data\documentation\built_pdf\childb\kv.pdf
25/01/2010 14:13:37 : Extracting : R:\data\documentation\built_pdf\childb\kw.pdf
25/01/2010 14:13:47 : Extracting : R:\data\documentation\built_pdf\childb\ta.pdf
25/01/2010 14:13:54 : Extracting : R:\data\documentation\built_pdf\childb\TB.pdf
25/01/2010 14:14:02 : Extracting : R:\data\documentation\built_pdf\childb\TXA.pdf
25/01/2010 14:14:04 : Extracting : R:\data\documentation\built_pdf\childc\ccb.pdf
25/01/2010 14:14:06 : Extracting : R:\data\documentation\built_pdf\childc\CCC.pdf
25/01/2010 14:14:07 : Extracting : R:\data\documentation\built_pdf\childc\CCD.pdf
25/01/2010 14:14:09 : Extracting : R:\data\documentation\built_pdf\childc\CCE.pdf
25/01/2010 14:14:10 : Extracting : R:\data\documentation\built_pdf\childc\CCF.pdf
25/01/2010 14:14:13 : Extracting : R:\data\documentation\built_pdf\childc\CCG.pdf
25/01/2010 14:14:15 : Extracting : R:\data\documentation\built_pdf\childc\CCH.pdf
25/01/2010 14:14:17 : Extracting : R:\data\documentation\built_pdf\childc\CCJ.pdf
25/01/2010 14:14:19 : Extracting : R:\data\documentation\built_pdf\childc\CCK.pdf
25/01/2010 14:14:21 : Extracting : R:\data\documentation\built_pdf\childc\CCL.pdf
25/01/2010 14:14:23 : Extracting : R:\data\documentation\built_pdf\childc\CCM.pdf
25/01/2010 14:14:26 : Extracting : R:\data\documentation\built_pdf\childc\CCN.pdf
25/01/2010 14:14:28 : Extracting : R:\data\documentation\built_pdf\childc\CCP.pdf
25/01/2010 14:14:32 : Extracting : R:\data\documentation\built_pdf\childc\CCQ.pdf
25/01/2010 14:14:36 : Extracting : R:\data\documentation\built_pdf\childc\CCR.pdf
25/01/2010 14:14:40 : Extracting : R:\data\documentation\built_pdf\childc\CCS.pdf
